outlet_name_allsides,source_type_allsides,bias_allsides,url_allsides,url_cleaned
12 News Now KBMT,News Media,Center,https://www.allsides.com/news-source/12-news-now-kbmt-media-bias,12newsnow.com
12News,News Media,Center,https://www.allsides.com/news-source/12news-media-bias,12news.com
1819 News,News Media,Center-Right,https://www.allsides.com/news-source/1819-news-media-bias,1819news.com
27 East,News Media,Center,https://www.allsides.com/news-source/27-east-media-bias,27east.com
4029 News,News Media,Center,https://www.allsides.com/news-source/4029-news-media-bias,4029tv.com
538 (ABC News,News Media,Center,https://www.allsides.com/news-source/fivethirtyeight-0,abcnews.go.com/538
9 & 10 News,News Media,Center,https://www.allsides.com/news-source/9-10-news-media-bias,9and10news.com
A Project for America,Think Tank / Policy Group,Center,https://www.allsides.com/news-source/project-america-media-bias,communityconversationsforamerica.org
A Starting Point,Video,Center,https://www.allsides.com/news-source/starting-point-media-bias,astartingpoint.com
AARP,Think Tank / Policy Group,Center,https://www.allsides.com/news-source/aarp-media-bias,aarp.org
ABC 11 WTVD,News Media,Center,https://www.allsides.com/news-source/abc-11-wtvd-media-bias,abc11.com
ABC 12,News Media,Center,https://www.allsides.com/news-source/abc-12-media-bias,abc12.com
ABC 13 WTVG,News Media,Center,https://www.allsides.com/news-source/abc-13-wtvg-media-bias,13abc.com
ABC 15 Arizona,News Media,Center,https://www.allsides.com/news-source/abc-15-arizona-media-bias,abc15.com
ABC 16 WAPT,News Media,Center,https://www.allsides.com/news-source/abc-16-wapt-media-bias,wapt.com
ABC 25 KXXV,News Media,Center,https://www.allsides.com/news-source/abc-25-kxxv-media-bias,kxxv.com
ABC 27 WHTM,News Media,Center,https://www.allsides.com/news-source/abc-27-whtm-media-bias,abc27.com
ABC 27 WKOW,News Media,Center,https://www.allsides.com/news-source/abc-27-wkow-media-bias,wkow.com
ABC 4 WTAE,News Media,Center,https://www.allsides.com/news-source/abc-4-wtae-media-bias,wtae.com
ABC 47 WMDT,News Media,Center,https://www.allsides.com/news-source/abc-47-wmdt-media-bias,wmdt.com
ABC 5 NEWS,News Media,Center,https://www.allsides.com/news-source/abc-5-wews-media-bias,news5cleveland.com
ABC 57,News Media,Center,https://www.allsides.com/news-source/abc-57-media-bias,abc57.com
ABC 6,News Media,Center,https://www.allsides.com/news-source/abc-6-media-bias,abc6.com
ABC 6 KAAL,News Media,Center,https://www.allsides.com/news-source/abc-6-kaal-media-bias,kaaltv.com
ABC 6 WPVI,News Media,Center,https://www.allsides.com/news-source/abc-6-wpvi-media-bias,6abc.com
ABC 7 Chicago,News Media,Center,https://www.allsides.com/news-source/abc-7-chicago-media-bias,abc7chicago.com
