outlet_name_mbfc,url_mbfc,bias_mbfc,factual_reporting_mbfc,country_mbfc,credibility_mbfc,url_cleaned
100% Fed up,https://mediabiasfactcheck.com/100-percent-fed-up,Questionable,Low,US,Low,100percentfedup.com
1010 WINS AM,https://mediabiasfactcheck.com/1010-wins-am,Center,High,US,High,audacy.com/1010wins
10News.one,https://mediabiasfactcheck.com/10news-one,Questionable,Low,US,Low,10news.one
11 News - KKCO,https://mediabiasfactcheck.com/11-news-kkco,Center,High,US,High,nbc11news.com
12 News KPNX,https://mediabiasfactcheck.com/12-news-kpnx,Center,High,US,High,12news.com
13 News - WIBW,https://mediabiasfactcheck.com/13-news-wibw,Center,High,US,High,wibw.com
1440 Newsletter,https://mediabiasfactcheck.com/1440-newsletter,Center,High,US,High,join1440.com
1600 Daily,https://mediabiasfactcheck.com/1600-daily,Center-Left,Mostly Factual,US,High,whitehouse.gov/1600daily
1945 - 19fortyfive,https://mediabiasfactcheck.com/1945-19fortyfive-com,Center-Right,Mostly Factual,US,High,19fortyfive.com
2020ElectionCenter.com,https://mediabiasfactcheck.com/2020electioncenter-com-bias,Conspiracy-Pseudoscience,Very Low,US,Low,2020electioncenter.com
21st Century Wire,https://mediabiasfactcheck.com/21st-century-wire,Conspiracy-Pseudoscience,Mixed,US,Low,21stcenturywire.com
23WIFR News,https://mediabiasfactcheck.com/23wifr-news,Center,High,US,High,wifr.com
24 News,https://mediabiasfactcheck.com/24-news,Questionable,Low,US,Low,us24news.com
24/7 Wall St,https://mediabiasfactcheck.com/24-7-wall-st,Center,High,US,,247wallst.com
2nd Amendment Daily News,https://mediabiasfactcheck.com/2nd-amendment-daily-news,Questionable,Low,US,Low,secondamendmentdaily.com
2ndVote,https://mediabiasfactcheck.com/2ndvote,Right,Mixed,US,Medium,2ndvote.com
38 North,https://mediabiasfactcheck.com/38-north,Center,High,US,High,38north.org
3CCorp.net,https://mediabiasfactcheck.com/3ccorp-net,Questionable,Low,US,Low,3ccorp.net
4Chan,https://mediabiasfactcheck.com/4chan-bias,Questionable,Very Low,US,Low,4chan.org
71 Republic,https://mediabiasfactcheck.com/71-republic,Center-Right,High,US,High,71republic.com
79Days.News,https://mediabiasfactcheck.com/79days-news,Conspiracy-Pseudoscience,Very Low,US,Low,79days.news
911Truth.org,https://mediabiasfactcheck.com/911truth-org,Conspiracy-Pseudoscience,Low,US,Low,911truth.org
9News - KUSA,https://mediabiasfactcheck.com/9news-kusa,Center,High,US,High,9news.com
A Call for an Uprising,https://mediabiasfactcheck.com/a-call-for-an-uprising,Conspiracy-Pseudoscience,Low,US,Low,acallforanuprising.com
A Voice for Men,https://mediabiasfactcheck.com/a-voice-for-men,Questionable,Low,US,Low,avoiceformen.com
ABC News,https://mediabiasfactcheck.com/abc-news,Center-Left,High,US,High,abcnews.go.com
ABC11 Eyewitness News,https://mediabiasfactcheck.com/abc11-eyewitness-news,Center-Left,High,US,High,abc11.com
ABC12/WJRT-TV,https://mediabiasfactcheck.com/abc12-news-wjrt,Center,High,US,High,abc12.com
ABC7 New York,https://mediabiasfactcheck.com/abc7-new-york,Center,High,US,High,abc7ny.com
ABC7chicago.com,https://mediabiasfactcheck.com/abc7chicago-com,Center,High,US,High,abc7chicago.com
Abel Danger,https://mediabiasfactcheck.com/abel-danger,Conspiracy-Pseudoscience,Mixed,US,Low,abeldanger.org
Abort73,https://mediabiasfactcheck.com/abort73,Right,Mixed,US,Medium,abort73.com
Above the Law,https://mediabiasfactcheck.com/above-the-law,Center-Left,High,US,High,abovethelaw.com
Above Top Secret,https://mediabiasfactcheck.com/above-top-secret,Conspiracy-Pseudoscience,Low,US,Low,abovetopsecret.com
Abril Uno,https://mediabiasfactcheck.com/abril-uno,Satire,,US,,abriluno.com
Accountable.US,https://mediabiasfactcheck.com/accountable-us,Left,Mostly Factual,US,Medium,accountable.us
Acculturated,https://mediabiasfactcheck.com/acculturated,Right,Mostly Factual,US,Medium,acculturated.com
