id_newsdesertsdigital,outlet_name_newsdesertsdigital,state_newsdesertsdigital,city_newsdesertsdigital,county_newsdesertsdigital,medium_type_newsdesertsdigital,audience_newsdesertsdigital,ethnic_media_newsdesertsdigital,url_cleaned
DG0001,Shoals Insider,AL,Muscle Shoals,Colbert County,Online News Organization,Local,No,shoalsinsider.com
DG0002,Birmingham Watch,AL,Birmingham,Jefferson County,Online News Organization,State,No,birminghamwatch.org
DG0003,Magnolia Reporter,AR,Magnolia,Columbia County,Online News Organization,State,No,magnoliareporter.com
DG0004,Monticello Live,AR,Monticello,Drew County,Online News Organization,Local,No,monticellolive.com
DG0005,Seark Today,AR,Monticello,Drew County,Online News Organization,Local,No,searktoday.com
DG0006,Saline River Chronicle,AR,Monticello,Drew County,Online News Organization,Local,No,salineriverchronicle.com
DG0007,Hope Prescott,AR,Hope,Hempstead County,Online News Organization,Local,No,hopeprescott.com
DG0008,Inside Fort Smith,AR,Fort Smith,Sebastian County,Online News Organization,Local,No,insidefortsmith.com
DG0009,Fayetteville Flyer,AR,Fayetteville,Washington County,Online News Organization,Local,No,fayettevilleflyer.com
DG0010,Tucson Sentinel,AZ,Tucson,Pima County,Online News Organization,State,No,tucsonsentinel.com
DG0011,Berkeleyside,CA,Berkeley,Alameda County,Online News Organization,Local,No,berkeleyside.com
DG0012,Eville Eye,CA,Emeryville,Alameda County,Online News Organization,Local,No,evilleeye.com
DG0013,Edsource,CA,Oakland,Alameda County,Online News Organization,Regional,No,edsource.org
DG0014,California Health Report,CA,Oakland,Alameda County,Online News Organization,State,No,calhealthreport.org
DG0015,Bay City News Foundation,CA,San Francisco,San Francisco County,Online News Organization,Local,No,localnewsmatters.org
DG0016,Chico Sol,CA,Chico,Butte County,Online News Organization,Local,No,chicosol.org
DG0017,East County Today,CA,Antioch,Contra Costa County,Online News Organization,Regional,No,eastcountytoday.net
DG0018,On the 101,CA,Central coast,County,Online News Organization,Local,No,onthe101.com
DG0019,South Tahoe Now,CA,South Lake Tahoe,El Dorado County,Online News Organization,Local,No,southtahoenow.com
DG0020,Lost Coast Outpost,CA,Ferndale,Humboldt County,Online News Organization,Local,No,lostcoastoutpost.com
DG0021,Delano Now,CA,Delano,Kern County,Online News Organization,Local,No,delanonow.com
DG0022,Lake County News,CA,Lakeport,Lake County,Online News Organization,Local,No,lakeconews.com
DG0023,OC Indy,CA,Long Beach,Los Angeles County,Online News Organization,Local,No,ocindy.com
DG0024,Leimert Park Beat,CA,Los Angeles,Los Angeles County,Online News Organization,Local,No,leimertparkbeat.com
DG0025,Altadena Now,CA,Altadena,Los Angeles County,Online News Organization,Local,No,altadena-now.com
DG0026,Pasadena Now,CA,Pasadena,Los Angeles County,Online News Organization,Local,No,pasadenanow.com
DG0027,Calbuzz,CA,Culver City,Los Angeles County,Online News Organization,Local,No,calbuzz.com
DG0028,Eastsider,CA,Los Angeles,Los Angeles County,Online News Organization,Local,No,theeastsiderla.com
DG0029,Larchmont Buzz,CA,Los Angeles,Los Angeles County,Online News Organization,Local,No,larchmontbuzz.com
DG0030,Alhambra Source,CA,Alhambra,Los Angeles County,Online News Organization,Local,No,alhambrasource.org
DG0031,Silver Lake Star,CA,Silver Lake,Los Angeles County,Online News Organization,Local,No,silverlakestar.com
DG0032,Crosstown,CA,Los Angeles,Los Angeles County,Online News Organization,Local,No,xtown.la
DG0033,Long Beach Post,CA,Long Beach,Los Angeles County,Online News Organization,Local,No,lbpost.com
DG0034,sustainablecity,CA,Whittier,Los Angeles County,Online News Organization,Local,No,sustainablecity.co
DG0035,Mendocino Voice,CA,Ukiah,Mendocino County,Online News Organization,Local,No,mendovoice.com
DG0036,Voices of Monterey Bay,CA,Monterey,Monterey County,Online News Organization,Local,Yes,voicesofmontereybay.org
DG0037,YubaNet,CA,Nevada City,Nevada County,Online News Organization,Regional,No,yubanet.com
DG0038,Voice of Orange County,CA,Santa Ana,Orange County,Online News Organization,Local,No,voiceofoc.org
DG0039,Menifee 24-7,CA,Menifee,Riverside County,Online News Organization,Local,No,menifee247.com
DG0040,Coachella Valley Independent,CA,Cathedral City,Riverside County,Online News Organization,Local,No,cvindependent.com
DG0041,Voices: River City,CA,Sacramento,Sacramento County,Online News Organization,Local,No,voicesrivercity.com
DG0042,Cal Matters,CA,Sacramento,Sacramento County,Online News Organization,Local,No,calmatters.org
DG0043,Rio Linda Online,CA,Rio Linda,Sacramento County,Online News Organization,Local,No,riolindaonline.com
DG0044,Benito Link,CA,Hollister,San Benito County,Online News Organization,Local,No,benitolink.com
DG0045,Times of San Diego,CA,San Diego,San Diego County,Online News Organization,Local,No,timesofsandiego.com
DG0046,Escondido Grapevine,CA,Escondido,San Diego County,Online News Organization,Local,No,escondidograpevine.com
DG0047,Coronado Times,CA,Coronado,San Diego County,Online News Organization,Local,No,coronadotimes.com
DG0048,San Francisco Public Press,CA,San Francisco,San Francisco County,Online News Organization,Local,No,sfpublicpress.org
DG0049,Mission Local,CA,San Francisco,San Francisco County,Online News Organization,Local,No,missionlocal.com
DG0050,This San Francisco,CA,San Francisco,San Francisco County,Online News Organization,Local,No,thissanfrancisco.com
DG0051,SoundingsMag,CA,Stockton,San Joaquin County,Online News Organization,Local,No,soundingsmag.net
DG0052,Noozhawk,CA,Santa Barbara,Santa Barbara County,Online News Organization,Local,No,noozhawk.com
DG0053,Edhat,CA,Santa Barbara,Santa Barbara County,Online News Organization,Local,No,edhat.com
DG0054,San Jose Spotlight,CA,San Jose,Santa Clara County,Online News Organization,Local,No,sanjosespotlight.com
DG0055,Santa Cruz Local,CA,Santa Cruz,Santa Cruz County,Online News Organization,Local,No,santacruzlocal.org
DG0056,Longmont Observer,CO,Longmont,Boulder County,Online News Organization,Local,No,longmontobserver.org
DG0057,High Country News,CO,Paonia,Delta County,Online News Organization,Regional,No,hcn.org/support
