id_newsdesertsphysical,outlet_name_newsdesertsphysical,state_newsdesertsphysical,city_newsdesertsphysical,county_newsdesertsphysical,owner_id_newsdesertsphysical,owner_newsdesertsphysical,owner_type_newsdesertsphysical,frequency_newsdesertsphysical,total_circulation_newsdesertsphysical,days_published_newsdesertsphysical,ethnic_media_newsdesertsphysical,url_cleaned
NP0003,Anchorage Press,AK,Anchorage,Anchorage Municipality,OW0013,Wick Communications,Private,W,20000.0,1.0,No,anchoragepress.com
NP0022,Bristol Bay Times/Dutch Harbor Fisherman,AK,Anchorage,Anchorage Municipality,OW4913,Ryan Binkley & Jason Evans,Private,W,,1.0,No,adn.com/bristol-bay-times
NP0021,Arctic Sounder,AK,Anchorage,Anchorage Municipality,OW4913,Ryan Binkley & Jason Evans,Private,W,2000.0,1.0,No,thearcticsounder.com
NP9543,Anchorage Daily News,AK,Anchorage,Anchorage Municipality,OW4913,Ryan Binkley & Jason Evans,Private,D,33301.0,7.0,No,adn.com
NP0024,Cordova Times,AK,Cordova,Valdez-Cordova,OW4917,Native Village of Eyak,Private,W,969.0,1.0,No,thecordovatimes.com
NP0009,Delta Wind,AK,Delta Junction,Southeast Fairbanks Census Area,OW0009,TriDelta,Private,W,,1.0,No,deltawindonline.com
NP9544,Alaska Star,AK,Eagle River,Anchorage Municipality,OW0014,Morris Communications,Private,W,4800.0,1.0,No,alaskastar.com
NP0023,Chugiak-Eagle River Star,AK,Eagle River,Anchorage Municipality,OW0014,Morris Communications,Private,W,4800.0,1.0,No,alaskastar.newsbank.com
NP0011,Fairbanks Daily News-Miner,AK,Fairbanks,Fairbanks North Star Borough,OW4916,Helen E Snedded Foundation,,D,13356.0,7.0,No,newsminer.com
NP0006,Chilkat Valley News,AK,Haines,Haines Borough,OW4914,Kyle Clayton,Private,W,1200.0,1.0,No,chilkatvalleynews.com
NP0013,Homer News,AK,Homer,Kenai Peninsula Borough,OW0014,Morris Communications,Private,W,3000.0,1.0,No,homernews.com
NP0014,Homer Tribune,AK,Homer,Kenai Peninsula Borough,OW4913,Ryan Binkley & Jason Evans,Private,W,,1.0,No,homertribune.com
NP0005,Capital City Weekly,AK,Juneau,Juneau City and Borough,OW0014,Morris Communications,Private,W,30000.0,1.0,No,capitalcityweekly.com
NP0016,Juneau Empire,AK,Juneau,Juneau City and Borough,OW0716,Black Press Group,Private,D,4491.0,6.0,No,juneauempire.com
NP0019,Peninsula Clarion,AK,Kenai,Kenai Peninsula Borough,OW0716,Black Press Group,Private,D,5710.0,6.0,No,peninsulaclarion.com
NP0017,Ketchikan Daily News,AK,Ketchikan,Ketchikan Gateway Borough,OW0017,Pioneer Printing,Private,D,4117.0,6.0,No,ketchikandailynews.com
NP0018,Kodiak Daily Mirror,AK,Kodiak,Kodiak Island Borough,OW4916,Helen E Snedded Foundation,,D,2849.0,5.0,No,ptialaska.net/~kdmnews
NP0025,Nome Nugget,AK,Nome,Nome Census Area,OW0019,McGuire Nancy,Private,W,6000.0,1.0,No,nomenugget.net
NP0020,Petersburg Pilot,AK,Petersburg,Petersburg Census area,OW0018,Loesch Ron,Private,W,1834.0,1.0,No,petersburgpilot.com
NP0026,Seward Phoenix Log,AK,Seward,Kenai Peninsula Borough,OW4002,All Alaska News Unlimited,Private,W,750.0,1.0,No,thesewardphoenixlog.com
NP0008,Daily Sitka Sentinel,AK,Sitka,Sitka City and Borough,OW4915,Thad Poulson,Private,D,2501.0,5.0,No,sitkasentinel.com/7
NP0031,Valdez Star,AK,Valdez,Valdez-Cordova,OW4918,Lee Revis,Private,W,2020.0,1.0,No,valdezstar.net
NP0012,Frontiersman,AK,Wasilla,Matanuska-Susitna Borough,OW0013,Wick Communications,Private,W,2932.0,3.0,No,frontiersman.com
NP0030,Wrangell Sentinel,AK,Wrangell,Wrangell City and Borough,OW0018,Loesch Ron,Private,W,1520.0,1.0,No,wrangellsentinel.com
NP0032,Abbeville Herald,AL,Abbeville,Henry,OW0022,Dodd Edward J,Private,W,2350.0,1.0,No,newspapers.com/paper/abbeville-herald/5652
NP0128,Sand Mountain Reporter,AL,Albertville,Marshall,OW5091,Patrick Graham,Private,W,6897.0,3.0,No,sandmountainreporter.com
NP0153,Wetumpka Herald,AL,Alexander City,Elmore,OW0025,Boone Newspapers,Private,W,5800.0,2.0,No,thewetumpkaherald.com
NP0061,Dadeville Record,AL,Alexander City,Tallapoosa,OW0025,Boone Newspapers,Private,W,1600.0,1.0,No,alexcityoutlook.com/news/dadeville
NP0035,Alexander City Outlook,AL,Alexander City,Tallapoosa,OW0025,Boone Newspapers,Private,D,5300.0,5.0,No,alexcityoutlook.com
NP8791,Andalusia Star-News,AL,Andalusia,Covington,OW0025,Boone Newspapers,Private,D,3395.0,6.0,No,andalusiastarnews.com
